timestamped_line
"[15:26:00] Ready. Type 's' to start logging, 'e' to stop."
[15:26:00] Sensor Info:
[15:26:00] Sensor ID: 50
[15:26:00] Sensor Name: FORCE PLATE 850
[15:26:00] Units: N
[15:26:00] ▶️ START LOGGING
"[15:26:00] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:26:00] 4.15, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:00] 4.52, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:26:00] 4.64, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:00] 4.85, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:01] 4.96, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:01] 5.07, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.00, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.11, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.22, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.33, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.45, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.56, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:26:02] 6.67, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:26:02] 6.78, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:02] 6.90, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:03] 7.01, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:26:03] 7.12, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:03] 7.23, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:03] 7.34, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:03] 7.46, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:03] 7.87, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:04] 7.99, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:04] 8.10, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:04] 8.21, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:26:04] 8.32, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 957, FSR3: 1023"
"[15:26:04] 8.84, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 756, FSR3: 1023"
"[15:26:05] 9.15, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 767, FSR3: 1023"
"[15:26:05] 9.26, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 768, FSR3: 1023"
"[15:26:05] 9.37, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 745, FSR3: 1023"
"[15:26:05] 9.69, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 714, FSR3: 1023"
"[15:26:05] 9.80, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 701, FSR3: 1023"
"[15:26:06] 10.01, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 616, FSR3: 1023"
"[15:26:06] 10.12, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1023, FSR2: 582, FSR3: 1023"
"[15:26:06] 10.23, Force(N): 26.719, ΔF(N): 2.021, FSR1: 1023, FSR2: 549, FSR3: 1023"
"[15:26:06] 10.45, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 525, FSR3: 1023"
"[15:26:06] 10.76, Force(N): 29.751, ΔF(N): 2.021, FSR1: 1022, FSR2: 497, FSR3: 1023"
"[15:26:07] 10.98, Force(N): 28.740, ΔF(N): -1.011, FSR1: 1023, FSR2: 487, FSR3: 1023"
"[15:26:07] 11.09, Force(N): 30.762, ΔF(N): 2.021, FSR1: 1023, FSR2: 481, FSR3: 1023"
"[15:26:07] 11.30, Force(N): 31.772, ΔF(N): 1.011, FSR1: 1023, FSR2: 477, FSR3: 1023"
"[15:26:07] 11.51, Force(N): 32.783, ΔF(N): 1.011, FSR1: 1023, FSR2: 470, FSR3: 1023"
"[15:26:07] 11.73, Force(N): 33.794, ΔF(N): 1.011, FSR1: 1023, FSR2: 446, FSR3: 1023"
"[15:26:08] 12.04, Force(N): 35.815, ΔF(N): 2.021, FSR1: 1022, FSR2: 402, FSR3: 1023"
"[15:26:08] 12.46, Force(N): 36.826, ΔF(N): 1.011, FSR1: 1023, FSR2: 380, FSR3: 1023"
"[15:26:08] 12.57, Force(N): 38.848, ΔF(N): 2.021, FSR1: 1023, FSR2: 378, FSR3: 1023"
"[15:26:08] 12.88, Force(N): 39.858, ΔF(N): 1.011, FSR1: 1022, FSR2: 366, FSR3: 1023"
