timestamped_line
"[13:42:13] Ready. Type 's' to start logging, 'e' to stop."
[13:42:13] Sensor Info:
[13:42:13] Sensor ID: 50
[13:42:13] Sensor Name: FORCE PLATE 850
[13:42:13] Units: N
[13:42:13] ▶️ START LOGGING
"[13:42:13] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[13:42:13] 4.65, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:14] 4.86, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:14] 5.08, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:14] 5.19, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:15] 6.21, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:15] 6.32, Force(N): 15.601, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:15] 6.44, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:16] 6.85, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:16] 6.97, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:16] 7.08, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:16] 7.19, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:17] 8.42, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:42:17] 8.53, Force(N): 15.601, ΔF(N): -2.021, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:42:17] 8.64, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:17] 8.75, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:42:18] 9.07, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:18] 9.18, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:18] 9.29, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[13:42:18] 9.61, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:18] 9.72, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:19] 9.83, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:19] 9.94, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:42:19] 10.36, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[13:42:19] 10.47, Force(N): 17.622, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:19] 10.59, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:20] 11.11, Force(N): 15.601, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[13:42:20] 11.22, Force(N): 16.611, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
