timestamped_line
"[16:03:40] Ready. Type 's' to start logging, 'e' to stop."
[16:03:40] Sensor Info:
[16:03:40] Sensor ID: 50
[16:03:40] Sensor Name: FORCE PLATE 850
[16:03:40] Units: N
[16:03:40] ▶️ START LOGGING
"[16:03:41] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:03:41] 4.35, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:41] 4.46, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:03:41] 4.67, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:03:41] 4.89, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:03:41] 5.10, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:03:42] 5.62, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:42] 5.73, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:42] 5.94, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:42] 6.05, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:43] 6.17, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:43] 6.48, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:43] 6.59, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:03:43] 6.71, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:43] 6.82, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:03:44] 7.13, Force(N): 18.633, ΔF(N): 1.011, FSR1: 853, FSR2: 1023, FSR3: 1023"
"[16:03:44] 7.45, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:03:44] 7.66, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:03:44] 7.87, Force(N): 21.665, ΔF(N): 1.011, FSR1: 747, FSR2: 1023, FSR3: 1023"
"[16:03:44] 8.09, Force(N): 23.687, ΔF(N): 2.021, FSR1: 764, FSR2: 1023, FSR3: 1023"
"[16:03:45] 8.30, Force(N): 24.697, ΔF(N): 1.011, FSR1: 809, FSR2: 1023, FSR3: 1023"
