timestamped_line
"[16:10:29] Ready. Type 's' to start logging, 'e' to stop."
[16:10:29] Sensor Info:
[16:10:29] Sensor ID: 50
[16:10:29] Sensor Name: FORCE PLATE 850
[16:10:29] Units: N
[16:10:29] ▶️ START LOGGING
"[16:10:29] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:10:30] 4.35, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:30] 4.76, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[16:10:30] 4.88, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:30] 5.19, Force(N): 22.676, ΔF(N): 3.032, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:31] 5.30, Force(N): 25.708, ΔF(N): 3.032, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:31] 5.41, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:31] 5.53, Force(N): 22.676, ΔF(N): -2.021, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:31] 5.64, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:10:31] 5.75, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:31] 5.86, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:10:31] 6.18, Force(N): 23.687, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:10:32] 6.29, Force(N): 20.654, ΔF(N): -3.032, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:10:32] 6.41, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:32] 6.82, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:10:32] 7.14, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:10:34] 8.36, Force(N): 19.644, ΔF(N): -1.011, FSR1: 673, FSR2: 1023, FSR3: 1023"
"[16:10:34] 8.78, Force(N): 20.654, ΔF(N): 1.011, FSR1: 634, FSR2: 1023, FSR3: 1023"
"[16:10:34] 9.09, Force(N): 19.644, ΔF(N): -1.011, FSR1: 687, FSR2: 1023, FSR3: 1023"
"[16:10:35] 9.30, Force(N): 18.633, ΔF(N): -1.011, FSR1: 660, FSR2: 1023, FSR3: 1023"
"[16:10:35] 9.42, Force(N): 20.654, ΔF(N): 2.021, FSR1: 646, FSR2: 1022, FSR3: 1023"
