timestamped_line
"[16:07:29] Ready. Type 's' to start logging, 'e' to stop."
[16:07:29] Sensor Info:
[16:07:29] Sensor ID: 50
[16:07:29] Sensor Name: FORCE PLATE 850
[16:07:29] Units: N
[16:07:29] ▶️ START LOGGING
"[16:07:29] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:07:29] 4.25, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:29] 4.36, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:29] 4.57, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:29] 4.68, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:29] 4.90, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:07:30] 5.01, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:30] 5.12, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:30] 5.34, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:07:30] 5.45, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:07:30] 5.76, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1021"
"[16:07:30] 5.87, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:31] 6.09, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:07:31] 6.20, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1005"
"[16:07:31] 6.31, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 998"
"[16:07:31] 6.42, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:07:31] 6.64, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 841"
"[16:07:31] 6.85, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 802"
"[16:07:32] 6.96, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 805"
"[16:07:32] 7.07, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 807"
"[16:07:32] 7.28, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 798"
"[16:07:32] 7.70, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 745"
