timestamped_line
"[16:06:19] Ready. Type 's' to start logging, 'e' to stop."
[16:06:20] Sensor Info:
[16:06:20] Sensor ID: 50
[16:06:20] Sensor Name: FORCE PLATE 850
[16:06:20] Units: N
[16:06:20] ▶️ START LOGGING
"[16:06:20] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:06:21] 5.05, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:21] 5.17, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:21] 5.38, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:21] 5.49, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:06:21] 5.61, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:06:21] 5.72, Force(N): 20.654, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:21] 5.83, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:06:22] 6.55, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:06:22] 6.66, Force(N): 18.633, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:06:22] 6.78, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:06:23] 7.19, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:06:23] 7.30, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:06:23] 7.62, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[16:06:23] 7.73, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:06:23] 7.84, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:06:24] 8.26, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:06:24] 8.47, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:24] 8.59, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:24] 8.70, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:25] 9.01, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:06:25] 9.23, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:06:25] 9.34, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:06:25] 9.75, Force(N): 22.676, ΔF(N): 3.032, FSR1: 1023, FSR2: 559, FSR3: 1022"
"[16:06:26] 10.07, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 388, FSR3: 1022"
"[16:06:26] 10.18, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1022, FSR2: 353, FSR3: 1023"
"[16:06:26] 10.29, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 317, FSR3: 1022"
"[16:06:26] 10.81, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 299, FSR3: 1023"
"[16:06:26] 10.92, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1022, FSR2: 297, FSR3: 1022"
"[16:06:27] 11.33, Force(N): 30.762, ΔF(N): 3.032, FSR1: 1022, FSR2: 284, FSR3: 1023"
"[16:06:27] 11.45, Force(N): 29.751, ΔF(N): -1.011, FSR1: 1022, FSR2: 282, FSR3: 1022"
"[16:06:27] 11.56, Force(N): 31.772, ΔF(N): 2.021, FSR1: 1023, FSR2: 279, FSR3: 1022"
