timestamped_line
"[15:57:43] Ready. Type 's' to start logging, 'e' to stop."
[15:57:43] Sensor Info:
[15:57:43] Sensor ID: 50
[15:57:43] Sensor Name: FORCE PLATE 850
[15:57:43] Units: N
[15:57:43] ▶️ START LOGGING
"[15:57:43] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:57:43] 4.25, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:57:43] 4.46, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:43] 4.57, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:57:44] 4.78, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:44] 4.90, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:57:44] 5.01, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:44] 5.12, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:44] 5.34, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:44] 5.45, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:57:45] 5.96, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:45] 6.08, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:57:45] 6.59, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1022"
"[15:57:45] 6.71, Force(N): 19.644, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:57:46] 6.82, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:57:46] 7.54, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:47] 7.75, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:57:47] 7.86, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[15:57:47] 7.98, Force(N): 17.622, ΔF(N): -2.021, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:57:47] 8.09, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:57:47] 8.61, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
