timestamped_line
"[16:04:20] Ready. Type 's' to start logging, 'e' to stop."
[16:04:20] Sensor Info:
[16:04:20] Sensor ID: 50
[16:04:20] Sensor Name: FORCE PLATE 850
[16:04:20] Units: N
[16:04:20] ▶️ START LOGGING
"[16:04:20] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[16:04:20] 4.35, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:04:20] 4.46, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:04:20] 4.57, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:21] 4.68, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:21] 4.90, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1022"
"[16:04:21] 5.01, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:04:21] 5.12, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[16:04:21] 5.24, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:21] 5.35, Force(N): 16.611, ΔF(N): -2.021, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[16:04:21] 5.46, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:04:22] 5.67, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:22] 5.78, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:22] 6.00, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1022"
"[16:04:22] 6.11, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1022, FSR2: 1021, FSR3: 6"
"[16:04:22] 6.22, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:22] 6.33, Force(N): 17.622, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:22] 6.55, Force(N): 16.611, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[16:04:23] 6.66, Force(N): 18.633, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[16:04:23] 6.77, Force(N): 17.622, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[16:04:23] 7.09, Force(N): 18.633, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 862"
"[16:04:23] 7.20, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 850"
"[16:04:23] 7.31, Force(N): 18.633, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 840"
"[16:04:23] 7.42, Force(N): 19.644, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 840"
"[16:04:24] 8.04, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 832"
"[16:04:24] 8.15, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 832"
"[16:04:24] 8.26, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1022, FSR2: 1023, FSR3: 822"
"[16:04:24] 8.47, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 824"
"[16:04:25] 8.78, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 820"
"[16:04:25] 8.90, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 588"
"[16:04:25] 9.11, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 526"
"[16:04:25] 9.22, Force(N): 22.676, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 513"
"[16:04:25] 9.33, Force(N): 23.687, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 447"
"[16:04:26] 9.64, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 439"
"[16:04:26] 9.75, Force(N): 23.687, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 438"
"[16:04:26] 9.87, Force(N): 24.697, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 432"
"[16:04:26] 10.18, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 409"
"[16:04:26] 10.29, Force(N): 24.697, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 408"
"[16:04:26] 10.40, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1022, FSR2: 1022, FSR3: 405"
"[16:04:27] 10.92, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1"
"[16:04:27] 11.23, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 5"
"[16:04:27] 11.44, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 239"
"[16:04:27] 11.56, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 326"
"[16:04:28] 11.77, Force(N): 28.740, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1"
"[16:04:28] 11.88, Force(N): 27.729, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 264"
"[16:04:28] 12.19, Force(N): 26.719, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 377"
"[16:04:28] 12.31, Force(N): 27.729, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 377"
