timestamped_line
"[15:53:38] Ready. Type 's' to start logging, 'e' to stop."
[15:53:38] Sensor Info:
[15:53:38] Sensor ID: 50
[15:53:38] Sensor Name: FORCE PLATE 850
[15:53:38] Units: N
[15:53:38] ▶️ START LOGGING
"[15:53:38] Time(s), Force(N), DeltaF(N), FSR1, FSR2, FSR3"
"[15:53:38] 4.45, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:53:38] 4.56, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:53:39] 4.88, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 1023"
"[15:53:39] 4.99, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1023, FSR2: 1022, FSR3: 1023"
"[15:53:39] 5.10, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 1023"
"[15:53:40] 6.22, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1022, FSR2: 1022, FSR3: 1023"
"[15:53:40] 6.34, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 1022"
"[15:53:41] 6.85, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 896"
"[15:53:41] 6.97, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1022, FSR3: 898"
"[15:53:41] 7.28, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 832"
"[15:53:41] 7.39, Force(N): 20.654, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 824"
"[15:53:41] 7.60, Force(N): 19.644, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 820"
"[15:53:41] 7.72, Force(N): 21.665, ΔF(N): 2.021, FSR1: 1022, FSR2: 1022, FSR3: 813"
"[15:53:42] 7.83, Force(N): 20.654, ΔF(N): -1.011, FSR1: 1023, FSR2: 1023, FSR3: 814"
"[15:53:42] 8.14, Force(N): 21.665, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 724"
"[15:53:42] 8.45, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 794"
"[15:53:42] 8.77, Force(N): 21.665, ΔF(N): -1.011, FSR1: 1022, FSR2: 1023, FSR3: 786"
"[15:53:43] 8.88, Force(N): 22.676, ΔF(N): 1.011, FSR1: 1023, FSR2: 1022, FSR3: 778"
"[15:53:43] 8.99, Force(N): 24.697, ΔF(N): 2.021, FSR1: 1023, FSR2: 1023, FSR3: 776"
"[15:53:43] 9.10, Force(N): 25.708, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 766"
"[15:53:43] 9.21, Force(N): 26.719, ΔF(N): 1.011, FSR1: 1023, FSR2: 1023, FSR3: 755"
