timestamped_line
[17:05:39] ▶ Starting baseline phase for 5 seconds...
[17:05:39] [BASE] t = 0.050 s | ADC: 3044 | V: 2.4530
[17:05:39] [BASE] t = 0.100 s | ADC: 3044 | V: 2.4530
[17:05:39] [BASE] t = 0.150 s | ADC: 3044 | V: 2.4530
[17:05:39] [BASE] t = 0.200 s | ADC: 3046 | V: 2.4547
[17:05:39] [BASE] t = 0.250 s | ADC: 3045 | V: 2.4538
[17:05:39] [BASE] t = 0.300 s | ADC: 3047 | V: 2.4555
[17:05:39] [BASE] t = 0.350 s | ADC: 3047 | V: 2.4555
[17:05:39] [BASE] t = 0.400 s | ADC: 3045 | V: 2.4538
[17:05:39] [BASE] t = 0.450 s | ADC: 3046 | V: 2.4547
[17:05:39] [BASE] t = 0.500 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 0.550 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 0.600 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 0.650 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 0.700 s | ADC: 3048 | V: 2.4563
[17:05:40] [BASE] t = 0.750 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 0.800 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 0.850 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 0.900 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 0.950 s | ADC: 3048 | V: 2.4563
[17:05:40] [BASE] t = 1.000 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 1.050 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 1.100 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 1.150 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 1.200 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 1.250 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 1.300 s | ADC: 3048 | V: 2.4563
[17:05:40] [BASE] t = 1.350 s | ADC: 3047 | V: 2.4555
[17:05:40] [BASE] t = 1.400 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 1.450 s | ADC: 3046 | V: 2.4547
[17:05:40] [BASE] t = 1.500 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 1.550 s | ADC: 3046 | V: 2.4547
[17:05:41] [BASE] t = 1.600 s | ADC: 3046 | V: 2.4547
[17:05:41] [BASE] t = 1.650 s | ADC: 3047 | V: 2.4555
[17:05:41] [BASE] t = 1.700 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 1.750 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 1.800 s | ADC: 3047 | V: 2.4555
[17:05:41] [BASE] t = 1.850 s | ADC: 3049 | V: 2.4571
[17:05:41] [BASE] t = 1.900 s | ADC: 3047 | V: 2.4555
[17:05:41] [BASE] t = 1.950 s | ADC: 3047 | V: 2.4555
[17:05:41] [BASE] t = 2.000 s | ADC: 3049 | V: 2.4571
[17:05:41] [BASE] t = 2.050 s | ADC: 3049 | V: 2.4571
[17:05:41] [BASE] t = 2.100 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 2.150 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 2.200 s | ADC: 3048 | V: 2.4563
[17:05:41] [BASE] t = 2.250 s | ADC: 3049 | V: 2.4571
