timestamped_line
[14:08:11] ▶ Starting baseline phase for 5 seconds...
[14:08:11] [BASE] t = 0.050 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.100 s | ADC: 2355 | V: 1.8978
[14:08:11] [BASE] t = 0.150 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.200 s | ADC: 2355 | V: 1.8978
[14:08:11] [BASE] t = 0.250 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.300 s | ADC: 2355 | V: 1.8978
[14:08:11] [BASE] t = 0.350 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.400 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.450 s | ADC: 2356 | V: 1.8986
[14:08:11] [BASE] t = 0.500 s | ADC: 2354 | V: 1.8970
[14:08:11] [BASE] t = 0.550 s | ADC: 2354 | V: 1.8970
[14:08:11] [BASE] t = 0.600 s | ADC: 2355 | V: 1.8978
[14:08:12] [BASE] t = 0.650 s | ADC: 2355 | V: 1.8978
[14:08:12] [BASE] t = 0.700 s | ADC: 2354 | V: 1.8970
[14:08:12] [BASE] t = 0.750 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 0.800 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 0.850 s | ADC: 2354 | V: 1.8970
[14:08:12] [BASE] t = 0.900 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 0.950 s | ADC: 2357 | V: 1.8994
[14:08:12] [BASE] t = 1.000 s | ADC: 2355 | V: 1.8978
[14:08:12] [BASE] t = 1.050 s | ADC: 2357 | V: 1.8994
[14:08:12] [BASE] t = 1.100 s | ADC: 2357 | V: 1.8994
[14:08:12] [BASE] t = 1.150 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.200 s | ADC: 2357 | V: 1.8994
[14:08:12] [BASE] t = 1.250 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.300 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.350 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.400 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.450 s | ADC: 2358 | V: 1.9002
[14:08:12] [BASE] t = 1.500 s | ADC: 2356 | V: 1.8986
[14:08:12] [BASE] t = 1.550 s | ADC: 2357 | V: 1.8994
[14:08:12] [BASE] t = 1.600 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 1.650 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 1.700 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 1.750 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 1.800 s | ADC: 2358 | V: 1.9002
[14:08:13] [BASE] t = 1.850 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 1.900 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 1.950 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 2.000 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.050 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.100 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.150 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 2.200 s | ADC: 2355 | V: 1.8978
[14:08:13] [BASE] t = 2.250 s | ADC: 2355 | V: 1.8978
[14:08:13] [BASE] t = 2.300 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 2.350 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.400 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.450 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.500 s | ADC: 2357 | V: 1.8994
[14:08:13] [BASE] t = 2.550 s | ADC: 2356 | V: 1.8986
[14:08:13] [BASE] t = 2.600 s | ADC: 2355 | V: 1.8978
[14:08:14] [BASE] t = 2.650 s | ADC: 2355 | V: 1.8978
[14:08:14] [BASE] t = 2.700 s | ADC: 2357 | V: 1.8994
[14:08:14] [BASE] t = 2.750 s | ADC: 2355 | V: 1.8978
[14:08:14] [BASE] t = 2.800 s | ADC: 2356 | V: 1.8986
[14:08:14] [BASE] t = 2.850 s | ADC: 2355 | V: 1.8978
[14:08:14] [BASE] t = 2.900 s | ADC: 2354 | V: 1.8970
[14:08:14] [BASE] t = 2.950 s | ADC: 2357 | V: 1.8994
[14:08:14] [BASE] t = 3.000 s | ADC: 2355 | V: 1.8978
[14:08:14] ✅ Baseline complete. Starting main recording for 20 seconds...
[14:08:14] [MAIN] t = 0.000 s | ADC: 2356 | V: 1.8986
[14:08:14] [MAIN] t = 0.050 s | ADC: 2355 | V: 1.8978
[14:08:14] [MAIN] t = 0.100 s | ADC: 2356 | V: 1.8986
[14:08:14] [MAIN] t = 0.150 s | ADC: 2355 | V: 1.8978
[14:08:14] [MAIN] t = 0.200 s | ADC: 2355 | V: 1.8978
[14:08:14] [MAIN] t = 0.250 s | ADC: 2355 | V: 1.8978
[14:08:14] [MAIN] t = 0.300 s | ADC: 2356 | V: 1.8986
[14:08:14] [MAIN] t = 0.350 s | ADC: 2355 | V: 1.8978
[14:08:14] [MAIN] t = 0.400 s | ADC: 2356 | V: 1.8986
[14:08:14] [MAIN] t = 0.450 s | ADC: 2356 | V: 1.8986
[14:08:14] [MAIN] t = 0.500 s | ADC: 2354 | V: 1.8970
[14:08:14] [MAIN] t = 0.550 s | ADC: 2356 | V: 1.8986
[14:08:15] [MAIN] t = 0.600 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 0.650 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 0.700 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 0.750 s | ADC: 2355 | V: 1.8978
[14:08:15] [MAIN] t = 0.800 s | ADC: 2356 | V: 1.8986
