timestamped_line
[14:19:39] ▶ Starting baseline phase for 5 seconds...
[14:19:39] [BASE] t = 0.050 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.100 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.150 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.200 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.250 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.300 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.350 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.400 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.450 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.500 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.550 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.600 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.650 s | ADC: 3124 | V: 2.5175
[14:19:39] [BASE] t = 0.700 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.750 s | ADC: 3122 | V: 2.5159
[14:19:39] [BASE] t = 0.800 s | ADC: 3122 | V: 2.5159
[14:19:39] [BASE] t = 0.850 s | ADC: 3123 | V: 2.5167
[14:19:39] [BASE] t = 0.900 s | ADC: 3124 | V: 2.5175
[14:19:40] [BASE] t = 0.950 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.000 s | ADC: 3124 | V: 2.5175
[14:19:40] [BASE] t = 1.050 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.100 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.150 s | ADC: 3124 | V: 2.5175
[14:19:40] [BASE] t = 1.200 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.250 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.300 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.350 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.400 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.450 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.500 s | ADC: 3121 | V: 2.5151
[14:19:40] [BASE] t = 1.550 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.600 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.650 s | ADC: 3122 | V: 2.5159
[14:19:40] [BASE] t = 1.700 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.750 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.800 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.850 s | ADC: 3123 | V: 2.5167
[14:19:40] [BASE] t = 1.900 s | ADC: 3122 | V: 2.5159
[14:19:41] [BASE] t = 1.950 s | ADC: 3123 | V: 2.5167
[14:19:41] [BASE] t = 2.000 s | ADC: 3122 | V: 2.5159
[14:19:41] [BASE] t = 2.050 s | ADC: 3123 | V: 2.5167
[14:19:41] [BASE] t = 2.100 s | ADC: 3123 | V: 2.5167
[14:19:41] [BASE] t = 2.150 s | ADC: 3123 | V: 2.5167
[14:19:41] [BASE] t = 2.200 s | ADC: 3124 | V: 2.5175
